GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Conference Tracking Management,com.kishore.confmanagement.extension.defaultextensionimpl.schedulingstrategy.vos.tracks,FirstFitTrack,0,27,0,4,0,14,0,4,0,2
Conference Tracking Management,com.kishore.confmanagement.core.parsers,DocumentProcessingParser,3,0,0,0,1,0,1,0,1,0
Conference Tracking Management,com.kishore.confmanagement.core.parsers,XMLDocumentProcessingParser,30,30,0,0,9,13,0,3,0,3
Conference Tracking Management,com.kishore.confmanagement.core.exceptions,ProviderInstantiationException,14,0,0,0,4,0,2,0,2,0
Conference Tracking Management,com.kishore.confmanagement.core.exceptions,ParsingException,14,0,0,0,4,0,2,0,2,0
Conference Tracking Management,com.kishore.confmanagement.core.exceptions,BaseRuntimeException,14,0,0,0,3,0,2,0,2,0
Conference Tracking Management,com.kishore.confmanagement.core.resolvers,DurationResolver,0,3,0,0,0,1,0,1,0,1
Conference Tracking Management,com.kishore.confmanagement.core.resolvers,MinuteDurationResolver,32,126,3,5,12,35,3,6,0,5
Conference Tracking Management,com.kishore.confmanagement.core.resolvers,ConfigurationResolver,33,26,0,0,10,8,1,2,1,2
Conference Tracking Management,com.kishore.confmanagement.extension.defaultextensionimpl.validator,MaxConferenceTalkDurationValidator,0,98,0,8,0,28,0,7,0,3
Conference Tracking Management,com.kishore.confmanagement.common.loggers,BaseLogger,0,5,0,0,0,2,0,2,0,2
Conference Tracking Management,com.kishore.confmanagement.common.loggers,LoggerAdapter,12,23,0,0,4,9,2,6,2,6
Conference Tracking Management,com.kishore.confmanagement.common.loggers,LoggerAdapter.LoggerAdapterSingletonCreator,3,6,0,0,1,1,1,1,1,1
Conference Tracking Management,com.kishore.confmanagement.core.vos.sessions,ConferenceSession,0,205,0,10,0,49,0,17,0,12
Conference Tracking Management,com.kishore.confmanagement.core.vos.sessions,MorningSession,0,17,0,0,0,6,0,5,0,5
Conference Tracking Management,com.kishore.confmanagement.core.vos.sessions,LunchSession,0,48,0,0,0,12,0,6,0,6
Conference Tracking Management,com.kishore.confmanagement.core.vos.sessions,AfterNoonSession,0,15,0,0,0,5,0,3,0,3
